###################################################
# Type        time       iteration         rpmax   
#   s           d            l               d     
###################################################
        DR      17.9851            1     70.000
        DR      17.9355            2     70.000
        DR      17.9625            3     70.000
        DR      17.9244            4     70.000
        DR      17.9213            5     70.000
        DR      17.9791            6     70.000
        DR      17.9575            7     70.000
        DR      17.9632            8     70.000
        DR      17.9561            9     70.000
        DR      17.9808           10     70.000
        DR      22.9426            1     75.000
        DR      22.9756            2     75.000
        DR      23.5204            3     75.000
        DR      23.0483            4     75.000
        DR      22.9212            5     75.000
        DR      23.3035            6     75.000
        DR      23.2968            7     75.000
        DR      23.0085            8     75.000
        DR      22.9945            9     75.000
        DR      22.9715           10     75.000
        DR      27.8744            1     80.000
        DR      27.8555            2     80.000
        DR      29.3863            3     80.000
        DR      27.9543            4     80.000
        DR      28.2793            5     80.000
        DR      28.0803            6     80.000
        DR      27.8737            7     80.000
        DR      28.0720            8     80.000
        DR      27.7900            9     80.000
        DR      28.0628           10     80.000
        DR      32.2717            1     85.000
        DR      32.2841            2     85.000
        DR      32.2056            3     85.000
        DR      31.9885            4     85.000
        DR      31.9048            5     85.000
        DR      32.0394            6     85.000
        DR      32.0113            7     85.000
        DR      32.1612            8     85.000
        DR      32.0361            9     85.000
        DR      32.0445           10     85.000
        DR      34.8336            1     90.000
        DR      34.8913            2     90.000
        DR      35.0458            3     90.000
        DR      34.8349            4     90.000
        DR      35.2309            5     90.000
        DR      34.8828            6     90.000
        DR      34.9314            7     90.000
        DR      34.9986            8     90.000
        DR      35.0031            9     90.000
        DR      34.9552           10     90.000
        DR      41.2136            1     95.000
        DR      41.1152            2     95.000
        DR      41.4005            3     95.000
        DR      41.1238            4     95.000
        DR      41.0660            5     95.000
        DR      41.4567            6     95.000
        DR      41.4595            7     95.000
        DR      41.1304            8     95.000
        DR      41.0590            9     95.000
        DR      41.2044           10     95.000
